accident_id,latitude,longitude,date_time,road_segment_id,road_name,accident_severity,weather_condition,time_of_day,traffic_density,road_type,num_lanes,has_intersection,has_curve,is_peak_hour,risk_score
1,18.578624,79.264809,2023-01-01 16:38:41,RS_023,Karimnagar-Peddapalli Bypass,Medium,Clear,Afternoon,Medium,Highway,5,False,False,False,0.4369
2,18.62253,79.411128,2023-01-09 21:33:00,RS_046,Manthani Road,High,Fog,Night,Low,Arterial,2,False,True,False,0.5008
3,18.636122,79.357841,2023-01-13 09:13:21,RS_027,SH-7,Low,Clear,Morning,High,Highway,4,False,False,True,0.399
4,18.622126,79.397977,2023-01-15 12:55:27,RS_045,Manthani Road,Low,Clear,Afternoon,Medium,Arterial,2,True,True,False,0.3792
5,18.593877,79.294158,2023-01-21 15:53:14,RS_016,SH-1 Peddapalli-Karimnagar,Medium,Fog,Afternoon,Medium,Highway,4,False,False,False,0.4827
6,18.725868,79.397414,2023-01-25 17:01:33,RS_035,Godavarikhani Road,Low,Clear,Evening,Medium,Arterial,3,False,False,False,0.4061
7,18.723092,79.397492,2023-01-26 20:37:19,RS_035,Godavarikhani Road,Medium,Clear,Evening,Medium,Arterial,3,False,False,False,0.299
8,18.58899,79.293151,2023-02-01 15:42:07,RS_022,Karimnagar-Peddapalli Bypass,Medium,Clear,Afternoon,Low,Highway,6,True,False,False,0.3298
9,18.645002,79.482598,2023-02-15 22:24:00,RS_049,Manthani Road,High,Rain,Night,Low,Arterial,2,False,True,False,0.5378
10,18.76055,79.503507,2023-02-17 20:26:29,RS_011,Rajiv Highway (SH-1),High,Clear,Evening,Medium,Highway,4,True,True,True,0.7808
11,18.699405,79.452781,2023-02-20 12:28:55,RS_005,Rajiv Highway (SH-1),Low,Clear,Afternoon,Medium,Highway,4,False,False,False,0.5074
12,18.571944,79.231254,2023-02-20 18:47:41,RS_018,SH-1 Peddapalli-Karimnagar,High,Clear,Evening,Medium,Highway,4,False,False,True,0.4717
13,18.738078,79.521088,2023-02-25 18:27:08,RS_009,Rajiv Highway (SH-1),High,Rain,Evening,Medium,Highway,4,False,False,True,0.6725
14,18.63042,79.368321,2023-02-28 23:24:09,RS_026,SH-7,Medium,Clear,Night,High,Highway,4,True,False,False,0.3808
15,18.681915,79.363837,2023-03-01 19:27:38,RS_032,Godavarikhani Road,Medium,Clear,Evening,Low,Arterial,2,True,False,False,0.3267
16,18.741663,79.543901,2023-03-03 13:42:06,RS_009,Rajiv Highway (SH-1),High,Fog,Afternoon,Medium,Highway,4,False,False,False,0.6941
17,18.613652,79.382153,2023-03-03 19:34:44,RS_058,Peddapalli Ring Road,Low,Clear,Evening,Medium,Arterial,4,False,False,True,0.2809
18,18.602043,79.354021,2023-03-07 18:23:49,RS_053,Dharmaram Road,Low,Clear,Evening,Low,Local,2,True,True,True,0.4426
19,18.773941,79.468379,2023-03-10 02:32:25,RS_013,Rajiv Highway (SH-1),Medium,Rain,Night,Medium,Highway,6,True,False,False,0.755
20,18.715312,79.474658,2023-03-10 10:43:46,RS_007,Rajiv Highway (SH-1),Medium,Rain,Morning,Medium,Highway,6,False,False,False,0.6908
21,18.577845,79.262166,2023-03-16 17:03:44,RS_023,Karimnagar-Peddapalli Bypass,Low,Clear,Evening,Medium,Highway,5,False,False,True,0.3744
22,18.576436,79.261614,2023-03-18 17:00:59,RS_023,Karimnagar-Peddapalli Bypass,High,Clear,Evening,Medium,Highway,5,False,False,False,0.3052
23,18.646092,79.400447,2023-03-20 20:18:34,RS_002,Rajiv Highway (SH-1),Low,Clear,Evening,Low,Highway,4,False,False,True,0.4975
24,18.658976,79.405762,2023-03-20 20:25:52,RS_002,Rajiv Highway (SH-1),High,Clear,Evening,Medium,Highway,4,False,False,True,0.5747
25,18.672212,79.571087,2023-03-21 00:25:31,RS_052,Manthani Road,Low,Clear,Night,Medium,Arterial,2,False,True,True,0.4478
26,18.608355,79.347987,2023-03-24 15:05:23,RS_015,SH-1 Peddapalli-Karimnagar,Low,Clear,Afternoon,Medium,Highway,4,False,False,True,0.2984
27,18.651486,79.340454,2023-03-26 15:40:28,RS_028,SH-7,Medium,Clear,Afternoon,Low,Highway,4,True,True,False,0.5862
28,18.611081,79.376402,2023-03-26 19:52:42,RS_058,Peddapalli Ring Road,Low,Clear,Evening,Medium,Arterial,4,False,False,False,0.3016
29,18.633481,79.392394,2023-03-29 05:36:20,RS_001,Rajiv Highway (SH-1),High,Clear,Night,Medium,Highway,6,False,True,False,0.4972
30,18.772501,79.467177,2023-03-31 19:32:51,RS_013,Rajiv Highway (SH-1),Low,Clear,Evening,Low,Highway,6,True,False,False,0.6476
31,18.732024,79.517748,2023-03-31 21:24:15,RS_008,Rajiv Highway (SH-1),Low,Clear,Night,Low,Highway,5,True,False,False,0.6679
32,18.734279,79.509174,2023-04-04 09:02:18,RS_043,Basanthnagar Road,Medium,Fog,Morning,High,Arterial,2,False,False,True,0.389
33,18.640262,79.353238,2023-04-07 02:54:20,RS_027,SH-7,Medium,Clear,Night,Medium,Highway,4,False,False,False,0.366
34,18.780111,79.452701,2023-04-08 22:20:12,RS_013,Rajiv Highway (SH-1),High,Clear,Night,Low,Highway,6,True,False,False,0.6918
35,18.599276,79.325778,2023-04-09 21:28:32,RS_021,Karimnagar-Peddapalli Bypass,Medium,Clear,Night,Medium,Highway,6,False,True,False,0.5703
36,18.691248,79.356539,2023-04-17 12:01:12,RS_033,Godavarikhani Road,Medium,Clear,Afternoon,High,Arterial,2,False,False,False,0.2143
37,18.568627,79.218532,2023-04-20 14:26:24,RS_019,SH-1 Peddapalli-Karimnagar,Medium,Clear,Afternoon,Medium,Highway,4,False,True,False,0.4324
38,18.676415,79.572088,2023-04-23 09:45:21,RS_052,Manthani Road,Low,Rain,Morning,Low,Arterial,2,False,True,True,0.3995
39,18.775348,79.456887,2023-04-30 22:38:39,RS_040,Basanthnagar Road,Low,Clear,Night,Low,Arterial,2,False,False,False,0.3341
40,18.653776,79.334102,2023-05-01 13:33:25,RS_028,SH-7,Medium,Clear,Afternoon,High,Highway,4,True,True,False,0.4635
41,18.561263,79.210852,2023-05-03 02:20:06,RS_025,Karimnagar-Peddapalli Bypass,Medium,Clear,Night,High,Highway,4,True,False,True,0.5171
42,18.682171,79.42234,2023-05-04 16:51:44,RS_004,Rajiv Highway (SH-1),Medium,Clear,Afternoon,Low,Highway,6,True,False,False,0.2719
43,18.586441,79.255862,2023-05-06 21:25:24,RS_017,SH-1 Peddapalli-Karimnagar,Medium,Clear,Night,Medium,Highway,4,False,False,False,0.4704
44,18.650184,79.501373,2023-05-08 19:59:16,RS_050,Manthani Road,Low,Clear,Evening,High,Arterial,2,False,False,True,0.3884
45,18.769465,79.480252,2023-05-09 19:36:54,RS_012,Rajiv Highway (SH-1),High,Clear,Evening,High,Highway,5,False,False,False,0.6598
46,18.608625,79.361984,2023-05-10 17:41:59,RS_059,Peddapalli Ring Road,Low,Clear,Evening,Low,Arterial,4,False,False,False,0.2274
47,18.614711,79.375505,2023-05-13 22:13:26,RS_058,Peddapalli Ring Road,Low,Clear,Night,High,Arterial,4,False,False,False,0.2587
48,18.65773,79.528205,2023-05-17 09:37:25,RS_050,Manthani Road,Low,Clear,Morning,Medium,Arterial,2,False,False,True,0.1753
49,18.769353,79.474594,2023-05-17 15:55:32,RS_013,Rajiv Highway (SH-1),High,Clear,Afternoon,Low,Highway,6,True,False,False,0.6013
50,18.73892,79.512402,2023-05-21 11:45:55,RS_043,Basanthnagar Road,Low,Clear,Morning,Low,Arterial,2,False,False,True,0.3051
51,18.592617,79.342419,2023-05-22 17:29:08,RS_053,Dharmaram Road,Low,Fog,Evening,Low,Local,2,True,True,True,0.5926
52,18.573793,79.233554,2023-05-22 20:05:04,RS_018,SH-1 Peddapalli-Karimnagar,Medium,Rain,Evening,Medium,Highway,4,False,False,True,0.4954
53,18.774615,79.460151,2023-05-22 23:35:13,RS_013,Rajiv Highway (SH-1),Medium,Rain,Night,Medium,Highway,6,True,False,False,0.8513
54,18.7794,79.450541,2023-05-25 14:42:57,RS_013,Rajiv Highway (SH-1),Medium,Clear,Afternoon,Low,Highway,6,True,False,False,0.6074
55,18.616903,79.381842,2023-05-31 13:35:03,RS_026,SH-7,Medium,Rain,Afternoon,Medium,Highway,4,True,False,False,0.4049
56,18.744819,79.545745,2023-06-05 16:52:50,RS_044,Basanthnagar Road,High,Clear,Afternoon,Low,Arterial,2,False,False,False,0.3394
57,18.736417,79.520294,2023-06-06 14:11:19,RS_043,Basanthnagar Road,Low,Fog,Afternoon,Medium,Arterial,2,False,False,True,0.3782
58,18.666255,79.377768,2023-06-06 17:15:47,RS_032,Godavarikhani Road,Medium,Rain,Evening,Medium,Arterial,2,True,False,True,0.6215
59,18.651077,79.503495,2023-06-09 14:08:24,RS_050,Manthani Road,Low,Clear,Afternoon,Medium,Arterial,2,False,False,False,0.2379
60,18.590642,79.336414,2023-06-14 17:18:48,RS_053,Dharmaram Road,High,Clear,Evening,Low,Local,2,True,True,False,0.44
61,18.630294,79.436967,2023-06-14 19:28:15,RS_047,Manthani Road,High,Clear,Evening,Low,Arterial,2,False,False,True,0.3701
62,18.658355,79.380283,2023-06-15 16:29:03,RS_031,Godavarikhani Road,Low,Rain,Afternoon,High,Arterial,2,True,False,False,0.3641
63,18.774614,79.456645,2023-06-15 19:16:54,RS_039,Ramagundam Road,Medium,Clear,Evening,Medium,Arterial,3,False,True,True,0.5116
64,18.732819,79.522331,2023-06-16 10:41:53,RS_009,Rajiv Highway (SH-1),High,Rain,Morning,Medium,Highway,4,False,False,True,0.7511
65,18.712902,79.468314,2023-06-24 10:37:48,RS_006,Rajiv Highway (SH-1),Low,Rain,Morning,Low,Highway,6,False,True,False,0.6172
66,18.693284,79.346355,2023-06-25 17:10:50,RS_030,SH-7,Medium,Clear,Evening,Low,Highway,4,False,False,True,0.3748
67,18.715812,79.476814,2023-06-26 10:24:58,RS_007,Rajiv Highway (SH-1),Low,Clear,Morning,Low,Highway,6,False,False,False,0.5135
68,18.766285,79.466419,2023-06-28 07:55:43,RS_040,Basanthnagar Road,High,Rain,Morning,High,Arterial,2,False,False,False,0.2367
69,18.604913,79.357561,2023-06-28 12:43:51,RS_059,Peddapalli Ring Road,Low,Clear,Afternoon,High,Arterial,4,False,False,True,0.3397
70,18.714973,79.469896,2023-06-30 03:23:42,RS_006,Rajiv Highway (SH-1),Medium,Clear,Night,Medium,Highway,6,False,True,False,0.5479
71,18.626746,79.388288,2023-07-03 17:48:47,RS_001,Rajiv Highway (SH-1),Low,Rain,Evening,High,Highway,6,False,True,True,0.6684
72,18.555785,79.295326,2023-07-06 03:34:45,RS_056,Dharmaram Road,Medium,Clear,Night,Low,Local,2,False,True,False,0.3498
73,18.706425,79.457058,2023-07-09 20:52:22,RS_006,Rajiv Highway (SH-1),Medium,Rain,Evening,High,Highway,6,False,True,False,0.7464
74,18.58891,79.260998,2023-07-14 17:32:41,RS_017,SH-1 Peddapalli-Karimnagar,Low,Rain,Evening,High,Highway,4,False,False,True,0.587
75,18.627697,79.418097,2023-07-20 03:41:50,RS_046,Manthani Road,Medium,Rain,Night,Low,Arterial,2,False,True,False,0.4779
76,18.641525,79.398548,2023-07-22 08:03:01,RS_002,Rajiv Highway (SH-1),Low,Clear,Morning,High,Highway,4,False,False,True,0.4274
77,18.684913,79.345813,2023-07-25 20:06:01,RS_030,SH-7,Medium,Clear,Evening,Medium,Highway,4,False,False,True,0.4354
78,18.62387,79.387606,2023-08-01 15:21:59,RS_060,Peddapalli North Link,Low,Heavy Rain,Afternoon,Low,Arterial,2,False,False,False,0.3434
79,18.666209,79.549353,2023-08-02 00:42:57,RS_051,Manthani Road,Low,Clear,Night,Medium,Arterial,2,True,False,False,0.4225
80,18.538927,79.267231,2023-08-02 23:07:18,RS_057,Dharmaram Road,Low,Rain,Night,Low,Local,2,False,True,False,0.4828
81,18.680812,79.423078,2023-08-03 08:57:28,RS_004,Rajiv Highway (SH-1),Medium,Rain,Morning,Low,Highway,6,True,False,False,0.6139
82,18.56324,79.217474,2023-08-06 18:35:38,RS_025,Karimnagar-Peddapalli Bypass,High,Clear,Evening,Medium,Highway,4,True,False,False,0.4952
83,18.575167,79.319071,2023-08-10 18:28:22,RS_054,Dharmaram Road,Low,Clear,Evening,Low,Local,2,False,False,False,0.1772
84,18.695478,79.441205,2023-08-11 20:19:17,RS_005,Rajiv Highway (SH-1),High,Heavy Rain,Evening,High,Highway,4,False,False,True,0.6972
85,18.642192,79.40175,2023-08-12 20:02:25,RS_002,Rajiv Highway (SH-1),Low,Rain,Evening,Low,Highway,4,False,False,False,0.4917
86,18.698559,79.445567,2023-08-16 19:02:14,RS_005,Rajiv Highway (SH-1),Low,Rain,Evening,Low,Highway,4,False,False,False,0.5038
87,18.58413,79.247155,2023-08-18 01:13:51,RS_017,SH-1 Peddapalli-Karimnagar,Low,Clear,Night,Low,Highway,4,False,False,False,0.3337
88,18.773562,79.459105,2023-08-19 18:41:18,RS_040,Basanthnagar Road,Low,Clear,Evening,High,Arterial,2,False,False,True,0.3684
89,18.626858,79.388431,2023-08-20 10:30:15,RS_001,Rajiv Highway (SH-1),Medium,Clear,Morning,Low,Highway,6,False,True,False,0.548
90,18.640622,79.47178,2023-08-23 19:03:39,RS_049,Manthani Road,High,Clear,Evening,High,Arterial,2,False,True,False,0.4605
91,18.6031,79.333671,2023-08-23 19:45:05,RS_015,SH-1 Peddapalli-Karimnagar,Low,Heavy Rain,Evening,Low,Highway,4,False,False,True,0.5005
92,18.753712,79.520407,2023-08-27 00:36:08,RS_011,Rajiv Highway (SH-1),High,Rain,Night,Medium,Highway,4,True,True,False,0.9265
93,18.691909,79.43691,2023-08-31 09:50:51,RS_005,Rajiv Highway (SH-1),Medium,Rain,Morning,Low,Highway,4,False,False,False,0.6151
94,18.633946,79.448321,2023-09-01 20:55:10,RS_048,Manthani Road,Low,Rain,Evening,Medium,Arterial,2,False,True,True,0.6283
95,18.674242,79.372249,2023-09-05 19:48:15,RS_032,Godavarikhani Road,High,Rain,Evening,Low,Arterial,2,True,False,False,0.6422
96,18.610023,79.367191,2023-09-06 20:14:51,RS_059,Peddapalli Ring Road,Medium,Clear,Evening,Low,Arterial,4,False,False,True,0.4193
97,18.598509,79.30618,2023-09-08 18:02:08,RS_016,SH-1 Peddapalli-Karimnagar,Medium,Rain,Evening,Low,Highway,4,False,False,True,0.474
98,18.755626,79.520282,2023-09-09 20:35:00,RS_010,Rajiv Highway (SH-1),High,Rain,Evening,High,Highway,4,False,False,True,0.8047
99,18.756901,79.518451,2023-09-10 18:00:47,RS_011,Rajiv Highway (SH-1),High,Rain,Evening,Medium,Highway,4,True,True,True,0.95
100,18.57328,79.22276,2023-09-10 20:43:57,RS_019,SH-1 Peddapalli-Karimnagar,Medium,Rain,Evening,Medium,Highway,4,False,True,True,0.6483
101,18.780348,79.452039,2023-09-13 04:57:18,RS_040,Basanthnagar Road,Medium,Clear,Night,Low,Arterial,2,False,False,False,0.3077
102,18.597841,79.33238,2023-09-15 08:43:46,RS_020,Karimnagar-Peddapalli Bypass,Low,Rain,Morning,Medium,Highway,6,False,False,True,0.457
103,18.607208,79.347838,2023-09-15 19:28:07,RS_015,SH-1 Peddapalli-Karimnagar,Medium,Rain,Evening,Medium,Highway,4,False,False,True,0.503
